"priority","title","slug","published_at","category","finding_count","finding_labels","original_url"
"P0","Reconfigurando portafolios en 2026, ante tasas elevadas","reconfiguring-portfolios-in-2026-strategy-amid-high-rates","2026-05-02T01:53:11.178Z","Patrimonio","3","Lenguaje de inversión o actividad regulada | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/reconfiguring-portfolios-in-2026-strategy-amid-high-rates"
"P1","El Conocimiento como Capital Semilla: La Tasa de Retorno","el-conocimiento-como-capital-semilla-la-tasa-de-retorno","2026-03-25T17:16:24.541Z","Patrimonio","2","Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/el-conocimiento-como-capital-semilla-la-tasa-de-retorno"
"P2","Choose Financial Consultant in Mexico","choose-financial-consultant-in-mexico","2026-03-10T02:16:12.477Z","Patrimonio","0","","https://afortu.com.mx/blog/f/choose-financial-consultant-in-mexico"
"P0","El Activo Más Rentable del Patrimonio: La Educación como Columna","el-activo-mas-rentable-del-patrimonio-la-educacion-como-columna","2026-02-16T15:29:52.269Z","Educación financiera","5","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/el-activo-m%C3%A1s-rentable-del-patrimonio-la-educaci%C3%B3n-como-columna"
"P0","El Fenómeno de la Tercera Generación","el-fenomeno-de-la-tercera-generacion","2026-02-10T15:15:45.475Z","Legado","3","Lenguaje de inversión o actividad regulada | Cifra, tasa, monto o porcentaje | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/el-fen%C3%B3meno-de-la-tercera-generaci%C3%B3n"
"P0","Propósitos que sí se cumplen: cómo estructurar tu inversión para 2026","propositos-que-si-se-cumplen-como-estructurar-tu-inversion-para","2025-12-22T17:20:44.956Z","Patrimonio","4","Lenguaje de inversión o actividad regulada | Cifra, tasa, monto o porcentaje | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/prop%C3%B3sitos-que-s%C3%AD-se-cumplen-c%C3%B3mo-estructurar-tu-inversi%C3%B3n-para"
"P0","Incremento de Cuotas Patronales por Cesantía y Vejez","incremento-de-cuotas-patronales-por-cesantia-y-vejez","2025-11-12T22:19:55.567Z","Retiro","4","Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/incremento-de-cuotas-patronales-por-cesant%C3%ADa-y-vejez"
"P0","Modalidad 10 del IMSS en 2025: Seguridad Social","modalidad-10-del-imss-en-2025-seguridad-social","2025-10-23T15:50:28.251Z","Retiro","5","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/modalidad-10-del-imss-en-2025-seguridad-social"
"P2","Fintech y Patrimonio: ¿Aliados o Disruptores?","fintech-y-patrimonio-aliados-o-disruptores","2025-10-05T19:01:51.439Z","Innovación","0","","https://afortu.com.mx/blog/f/fintech-y-patrimonio-%C2%BFaliados-o-disruptores"
"P0","Protocolos familiares y gobernanza patrimonial","protocolos-familiares-y-gobernanza-patrimonial","2025-09-24T17:17:14.306Z","Legado","3","Materia fiscal, jurídica, pensionaria o de seguridad social | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/protocolos-familiares-y-gobernanza-patrimonial"
